True Label,NN Pred Label,Model Pred Label,Objective Value,Objective Bounds,Gap,Solver Time,Node Count
7,7,2,64.5780568922,64.5780568922,0,81.2339940071,79537
2,2,7,100.4501986202,100.4501986202,0,48.1678791046,59780
0,0,5,100.4920915351,100.4920915351,0,2.2218248844,2274
6,6,1,92.338574968,92.338574968,1.84679324585045E-15,1.9203698635,1905
9,9,4,77.2442651241,77.2442651241,1.10383765259792E-15,1.7387452126,1420
0,0,5,99.4676657831,99.4676657831,1.00008361735724E-15,1.7562029362,1373
1,1,6,58.4371989329,58.4371989329,3.64772481605161E-16,6.4692440033,6150
5,5,0,76.4017599375,76.4017599375,1.86001667066561E-16,25.9923799038,23517
9,9,4,76.7864747407,76.7864747407,0,3.0581459999,2939
7,7,2,79.5223356279,79.5223356279,0,55.5329461098,44777
3,3,8,119.0333333333,119.0333333333,0,0.1339812279,1
4,4,9,53.9386957256,53.9386957256,0,5.3306128979,6594
1,1,6,34.6614220093,34.6614220093,0,7.0768158436,7962
9,9,4,94.4056149222,94.4056149222,0,11.4051959515,12839
6,6,1,76.0942509296,76.0942509296,9.33766647387552E-16,2.9028460979,3262
6,6,1,79.7490196078,79.7490196078,1.78194726218357E-16,0.1251049042,1
5,5,0,71.9935750542,71.9935750542,0,24.8693680763,23419
4,4,9,43.0713233714,43.0713233714,4.94906596879203E-16,8.236800909,10590
0,0,5,182.3241520165,182.3200971493,2.22398795068991E-05,4.4653949738,5110
7,7,2,54.9869770377,54.9869770377,0,104.1157569885,95626
4,4,9,75.5335943529,75.5335943529,3.76279054027433E-16,3.0507750511,3789
0,0,5,117.2412579357,117.2412579357,0,3.3103051186,2800
1,1,6,45.6998467563,45.6998467563,3.10960664507106E-16,12.9142270088,13021
0,0,5,127.0311279907,127.0311279907,7.83083521179723E-16,9.2352900505,9984
3,3,8,85.6447703138,85.6447703138,9.95567248049968E-16,11.2569811344,13500
1,1,6,39.2100510476,39.2100510476,0,54.9629061222,52069
3,3,8,89.5302678408,89.5302678408,0,4.7203168869,4982
4,0,9,83.6655995982,83.6655995982,0,9.5463819504,9731
7,7,2,91.8190078591,91.8190078591,1.54770292628316E-15,105.1636359692,86980
2,2,7,99.9545414081,99.9545414081,0,20.8228030205,24761
7,7,2,76.8415971745,76.8415971745,0,164.9702498913,154343
1,1,6,49.1755297313,49.1755297313,0,22.3825891018,20816
2,2,7,65.6473972131,65.6473972131,2.16472477485529E-16,59.1015589237,65693
1,1,6,64.5213420701,64.5213420701,0,17.5541040897,18037
4,4,9,65.1087729773,65.1087729773,2.18263285658214E-16,6.9711930752,9361
1,1,6,24.4367222736,24.4367222736,0,10.9300918579,11881
7,7,2,58.9424422455,58.9424422455,0,85.6553471088,79737
4,4,9,82.384905125,82.384905125,0,3.7999479771,4514
2,2,7,54.5969596281,54.5969596281,0,14.7192220688,20313
3,3,8,63.4383920717,63.4383920717,0,4.067535162,4069
5,5,0,68.5896634383,68.5896634383,0,10.9822809696,11053
